    PID    PPID %MEM CMD                         %CPU
   2615    2614  0.1 bash OSproj/parsememory.sh   0.0
    793     785  0.1 (sd-pam)                     0.0
    910       1  0.1 /usr/libexec/rtkit-daemon    0.0
    532       1  0.1 /usr/sbin/cron -f            0.0
    963       1  0.1 /usr/sbin/dnsmasq --conf-fi  0.0
    528       1  0.0 /usr/sbin/acpid              0.0
   2559    2558  0.0 sh -c zenity --error --titl  0.0
   2547    2546  0.0 /bin/sh -c bash OSproj/pars  0.0
   2614    2613  0.0 /bin/sh -c bash OSproj/pars  0.0
   1140    1071  0.0 /usr/bin/ssh-agent /usr/bin  0.0
    713       1  0.0 /usr/sbin/kerneloops         0.0
    711       1  0.0 /usr/sbin/kerneloops --test  0.0
    964     963  0.0 /usr/sbin/dnsmasq --conf-fi  0.0
    572     531  0.0 avahi-daemon: chroot helper  0.0
    824       2  0.0 bpfilter_umh                 0.0
      2       0  0.0 [kthreadd]                   0.0
      3       2  0.0 [rcu_gp]                     0.0
      4       2  0.0 [rcu_par_gp]                 0.0
      6       2  0.0 [kworker/0:0H-kblockd]       0.0
      7       2  0.0 [kworker/u2:0-events_power_  0.0
      8       2  0.0 [mm_percpu_wq]               0.0
      9       2  0.0 [ksoftirqd/0]                0.0
     10       2  0.0 [rcu_sched]                  0.0
     11       2  0.0 [migration/0]                0.0
     12       2  0.0 [idle_inject/0]              0.0
     14       2  0.0 [cpuhp/0]                    0.0
     15       2  0.0 [kdevtmpfs]                  0.0
     16       2  0.0 [netns]                      0.0
     17       2  0.0 [rcu_tasks_kthre]            0.0
     18       2  0.0 [rcu_tasks_rude_]            0.0
     19       2  0.0 [rcu_tasks_trace]            0.0
     20       2  0.0 [kauditd]                    0.0
     21       2  0.0 [khungtaskd]                 0.0
     22       2  0.0 [oom_reaper]                 0.0
     23       2  0.0 [writeback]                  0.0
     24       2  0.0 [kcompactd0]                 0.0
     25       2  0.0 [ksmd]                       0.0
     26       2  0.0 [khugepaged]                 0.0
     72       2  0.0 [kintegrityd]                0.0
     73       2  0.0 [kblockd]                    0.0
     74       2  0.0 [blkcg_punt_bio]             0.0
     75       2  0.0 [tpm_dev_wq]                 0.0
     76       2  0.0 [ata_sff]                    0.0
     77       2  0.0 [md]                         0.0
     78       2  0.0 [edac-poller]                0.0
     79       2  0.0 [devfreq_wq]                 0.0
     80       2  0.0 [watchdogd]                  0.0
     82       2  0.0 [pm_wq]                      0.0
     84       2  0.0 [kswapd0]                    0.0
     85       2  0.0 [ecryptfs-kthrea]            0.0
     87       2  0.0 [kthrotld]                   0.0
     88       2  0.0 [acpi_thermal_pm]            0.0
     89       2  0.0 [scsi_eh_0]                  0.0
     90       2  0.0 [scsi_tmf_0]                 0.0
     91       2  0.0 [scsi_eh_1]                  0.0
     92       2  0.0 [scsi_tmf_1]                 0.0
     94       2  0.0 [vfio-irqfd-clea]            0.0
     95       2  0.0 [kworker/u2:3-events_power_  0.0
     96       2  0.0 [ipv6_addrconf]              0.0
    105       2  0.0 [kstrp]                      0.0
    108       2  0.0 [zswap-shrink]               0.0
    109       2  0.0 [kworker/u3:0]               0.0
    114       2  0.0 [charger_manager]            0.0
